,name,address,hierarchy,lat_coordinates,long_coordinates,weighting,img_source,link,neighbour_1,neighbour_2,neighbour_3
0,Ezra & Gil,"Ezra & Gil, 20 Hilton St, Manchester M1 1FR",0,53.4821,-2.2327,1.0,https://www.manchestersfinest.com/eating-and-drinking/best-breakfast-and-brunch-spots-in-manchester/,https://ezraandgil.com/,23,24,13
1,Another Heart to Feed,"Another Heart to Feed, 220 Burton Rd, Manchester M20 2LW",0,53.482963,-2.234612,1.0,https://www.manchestersfinest.com/eating-and-drinking/best-breakfast-and-brunch-spots-in-manchester/,https://anotherhearttofeed.co.uk/,8,20,25
2,TROVE,"1032 Stockport Rd, Manchester M19 3WX",0,53.441223,-2.189091,1.0,https://www.manchestersfinest.com/eating-and-drinking/best-breakfast-and-brunch-spots-in-manchester/,,26,13,24
3,Blanchflower,"Blanchflower, 12-14 Shaw’s Rd, Altrincham WA14 1QU",0,53.387457,-2.351286,1.0,https://www.manchestersfinest.com/eating-and-drinking/best-breakfast-and-brunch-spots-in-manchester/,https://www.blanchflower.co/,17,7,14
4,Federal,"Federal, 9 Nicholas Croft, Northern Quarter, Manchester, M4 1EY",0,53.484357,-2.238722,1.0,https://www.manchestersfinest.com/eating-and-drinking/best-breakfast-and-brunch-spots-in-manchester/,https://federalcafe.co.uk/,10,11,5
5,Mackey Mayor,"Smithfield Market Hall, 1 Eagle St, Manchester M4 5BU",0,53.48549,-2.235277,0.8,https://buttress.net/projects/mackie-mayor,https://www.instagram.com/mackiemayor/,25,20,8
6,The Refuge,"Oxford St, Manchester M60 7HA",0,53.47359,-2.2401,1.0,https://www.facebook.com/therefugemcr,https://www.refugemcr.co.uk/,11,19,24
7,Platzki,"229 Deansgate, Manchester M3 4EN",0,53.47888,-2.24917,1.0,https://www.facebook.com/platzki,https://www.platzki.com/,18,19,14
8,The Koffee Pot,"84-86 Oldham St, Manchester M4 1LE",0,53.48314,-2.23484,1.0,https://www.facebook.com/thekoffeepot,https://www.thekoffeepot.co.uk/,1,20,10
9,The Beagle,"456-458 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 0BQ",3,53.43246,-2.27027,1.0,https://www.facebook.com/thebeaglesabout,https://www.beaglesabout.com/,98,87,38
10,Evelyn’s,"44 Tib St, Manchester M4 1LA",0,53.483089,-2.23579,0.85,https://www.facebook.com/Evelynscafebar,https://www.evelynscafebar.com/,11,8,1
11,Fig + Sparrow,"20 Oldham St, Manchester M1 1JA",0,53.482544,-2.235647,1.0,https://www.facebook.com/FigSparrow/photos_by,https://www.instagram.com/figsparrow/?hl=en,10,8,1
12,Victors,"46 London Rd, Alderley Edge SK9 7DZ",0,53.300362,-2.23619,1.0,https://www.facebook.com/VictorsRestaurantAlderleyEdge,https://www.victors.co.uk/venues/alderley-edge/,3,2,6
